fcm_registration_token_id,member_id,registration_token,time_stamp
1,1,token1,2024-11-07 15:06:10
2,2,token2,2025-08-06 15:06:10
3,3,token3,2025-08-02 15:06:10
4,4,token4,2025-01-23 15:06:10
5,5,token5,2025-05-20 15:06:10
6,6,token6,2025-04-22 15:06:10
7,7,token7,2024-09-27 15:06:10
8,8,token8,2025-03-09 15:06:10
9,9,token9,2025-07-19 15:06:10
10,10,token10,2025-07-15 15:06:10
11,11,token11,2025-04-25 15:06:10
12,12,token12,2024-11-09 15:06:10
13,13,token13,2025-02-12 15:06:10
14,14,token14,2025-04-13 15:06:10
15,15,token15,2024-12-11 15:06:10
16,16,token16,2024-12-16 15:06:10
17,17,token17,2025-06-06 15:06:10
18,18,token18,2024-10-23 15:06:10
19,19,token19,2024-10-14 15:06:10
20,20,token20,2025-04-08 15:06:10
21,21,token21,2025-06-29 15:06:10
22,22,token22,2025-05-11 15:06:10
23,23,token23,2025-05-23 15:06:10
24,24,token24,2025-09-07 15:06:10
25,25,token25,2024-10-21 15:06:10
26,26,token26,2024-10-03 15:06:10
27,27,token27,2025-03-12 15:06:10
28,28,token28,2025-04-15 15:06:10
29,29,token29,2025-04-09 15:06:10
30,30,token30,2025-01-04 15:06:10
31,31,token31,2025-04-24 15:06:10
32,32,token32,2025-02-13 15:06:10
33,33,token33,2024-11-22 15:06:10
34,34,token34,2025-03-29 15:06:10
35,35,token35,2025-09-06 15:06:10
36,36,token36,2025-03-07 15:06:10
37,37,token37,2024-11-02 15:06:10
38,38,token38,2025-02-23 15:06:10
39,39,token39,2025-03-08 15:06:10
40,40,token40,2025-01-04 15:06:10
41,41,token41,2025-06-07 15:06:10
42,42,token42,2025-04-06 15:06:10
43,43,token43,2024-12-20 15:06:10
44,44,token44,2025-03-13 15:06:10
45,45,token45,2024-12-26 15:06:10
46,46,token46,2025-01-04 15:06:10
47,47,token47,2025-08-03 15:06:10
48,48,token48,2024-11-10 15:06:10
49,49,token49,2025-04-23 15:06:10
50,50,token50,2025-03-11 15:06:10
51,51,token51,2024-12-14 15:06:10
52,52,token52,2025-02-07 15:06:10
53,53,token53,2024-12-03 15:06:10
54,54,token54,2025-04-18 15:06:10
55,55,token55,2025-08-06 15:06:10
56,56,token56,2024-12-21 15:06:10
57,57,token57,2025-06-05 15:06:10
