invite_code_id,organization_id,inviter_id,code,expires_at,created_at
1,109,1,CODE1,2025-02-28 15:06:10,2025-03-08 15:06:10
2,242,2,CODE2,2025-02-06 15:06:10,2025-04-28 15:06:10
3,227,3,CODE3,2024-12-08 15:06:10,2025-04-24 15:06:10
4,160,4,CODE4,2025-06-09 15:06:10,2025-03-16 15:06:10
5,117,5,CODE5,2024-12-23 15:06:10,2025-05-27 15:06:10
6,196,6,CODE6,2025-09-10 15:06:10,2025-04-20 15:06:10
7,167,7,CODE7,2025-01-30 15:06:10,2025-05-01 15:06:10
8,83,8,CODE8,2025-09-09 15:06:10,2025-06-17 15:06:10
9,6,9,CODE9,2025-04-18 15:06:10,2024-12-22 15:06:10
10,171,10,CODE10,2025-09-18 15:06:10,2025-04-10 15:06:10
11,233,11,CODE11,2025-08-27 15:06:10,2025-09-15 15:06:10
12,181,12,CODE12,2025-02-03 15:06:10,2025-05-05 15:06:10
13,136,13,CODE13,2024-12-21 15:06:10,2025-09-05 15:06:10
14,210,14,CODE14,2024-09-27 15:06:10,2025-09-15 15:06:10
15,43,15,CODE15,2025-05-13 15:06:10,2025-05-30 15:06:10
16,93,16,CODE16,2025-04-16 15:06:10,2025-06-09 15:06:10
17,175,17,CODE17,2025-04-02 15:06:10,2024-11-29 15:06:10
18,147,18,CODE18,2025-03-19 15:06:10,2025-05-17 15:06:10
19,35,19,CODE19,2025-06-17 15:06:10,2025-09-19 15:06:10
20,110,20,CODE20,2025-08-30 15:06:10,2025-06-16 15:06:10
21,197,21,CODE21,2024-10-29 15:06:10,2025-09-16 15:06:10
22,32,22,CODE22,2025-07-17 15:06:10,2025-04-12 15:06:10
23,238,23,CODE23,2025-03-31 15:06:10,2025-01-14 15:06:10
24,172,24,CODE24,2024-11-24 15:06:10,2025-07-03 15:06:10
25,101,25,CODE25,2025-08-14 15:06:10,2025-03-20 15:06:10
26,48,26,CODE26,2025-04-01 15:06:10,2025-02-16 15:06:10
27,120,27,CODE27,2025-06-10 15:06:10,2024-11-17 15:06:10
28,91,28,CODE28,2024-12-12 15:06:10,2024-11-17 15:06:10
29,225,29,CODE29,2024-10-26 15:06:10,2024-09-26 15:06:10
30,72,30,CODE30,2025-04-06 15:06:10,2024-12-17 15:06:10
31,44,31,CODE31,2025-01-07 15:06:10,2025-02-18 15:06:10
