organization_member_id,organization_id,member_id,nickname,role,created_at,updated_at
1,1,1,Nick1,ADMIN,2025-03-28 15:06:06,2025-03-28 15:06:06
2,1,2,Nick2,USER,2025-03-16 15:06:06,2025-03-16 15:06:06
3,1,3,Nick3,USER,2025-03-24 15:06:06,2025-03-24 15:06:06
4,1,4,Nick4,USER,2025-04-08 15:06:06,2025-04-08 15:06:06
5,1,5,Nick5,USER,2025-02-19 15:06:06,2025-02-19 15:06:06
6,1,6,Nick6,USER,2025-02-28 15:06:06,2025-02-28 15:06:06
7,1,7,Nick7,USER,2025-07-30 15:06:06,2025-07-30 15:06:06
8,1,8,Nick8,USER,2024-10-01 15:06:06,2024-10-01 15:06:06
9,1,9,Nick9,USER,2025-07-26 15:06:06,2025-07-26 15:06:06
10,1,10,Nick10,USER,2025-08-30 15:06:06,2025-08-30 15:06:06
11,1,11,Nick11,USER,2024-10-10 15:06:06,2024-10-10 15:06:06
12,1,12,Nick12,USER,2024-12-14 15:06:06,2024-12-14 15:06:06
13,1,13,Nick13,USER,2024-12-27 15:06:06,2024-12-27 15:06:06
14,1,14,Nick14,USER,2025-04-24 15:06:06,2025-04-24 15:06:06
15,1,15,Nick15,USER,2025-05-29 15:06:06,2025-05-29 15:06:06
16,1,16,Nick16,USER,2024-12-17 15:06:06,2024-12-17 15:06:06
17,1,17,Nick17,USER,2025-09-09 15:06:06,2025-09-09 15:06:06
18,1,18,Nick18,USER,2025-09-14 15:06:06,2025-09-14 15:06:06
19,1,19,Nick19,USER,2025-09-19 15:06:06,2025-09-19 15:06:06
20,1,20,Nick20,USER,2025-08-03 15:06:06,2025-08-03 15:06:06
21,1,21,Nick21,USER,2025-01-05 15:06:06,2025-01-05 15:06:06
22,1,22,Nick22,USER,2025-06-30 15:06:06,2025-06-30 15:06:06
23,1,23,Nick23,USER,2024-10-25 15:06:06,2024-10-25 15:06:06
24,1,24,Nick24,USER,2024-10-18 15:06:06,2024-10-18 15:06:06
25,1,25,Nick25,USER,2024-11-11 15:06:06,2024-11-11 15:06:06
26,1,26,Nick26,USER,2024-10-23 15:06:06,2024-10-23 15:06:06
27,1,27,Nick27,USER,2025-03-29 15:06:06,2025-03-29 15:06:06
